geneA,geneB
YFL039C,YER093C
YFL039C,YEL002C
YFL039C,YEL002C
YFL039C,YNL181W
YFL039C,YNL181W
YFL039C,YNL181W
YFL039C,YNL181W
YFL039C,YNL181W
YFL039C,YNL181W
YFL039C,YKL112W
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YFL039C
YFL039C,YIL062C
YFL039C,YNR035C
YFL039C,YNR035C
YFL039C,YDL029W
YFL039C,YJL031C
YFL039C,YER159C
YFL039C,YDL143W
YFL039C,YJR064W
YFL039C,YDR188W
YFL039C,YDR188W
YFL039C,YJL008C
YFL039C,YCR002C
YFL039C,YCR002C
YFL039C,YAL041W
YFL039C,YAL041W
YFL039C,YAL041W
YFL039C,YBR038W
YFL039C,YBR109C
YFL039C,YDL209C
YFL039C,YMR211W
YFL039C,YPL242C
YFL039C,YOR181W
YFL039C,YNL006W
YFL039C,YOR326W
YFL039C,YOR326W
YFL039C,YOR122C
YFL039C,YOR122C
YFL039C,YOR122C
YFL039C,YOR281C
YFL039C,YIL118W
YFL039C,YLR208W
YFL039C,YNL272C
YFL039C,YFL005W
YFL039C,YDR212W
YFL039C,YDR212W
YFL039C,YKL203C
YFL039C,YKL203C
YFL039C,YER093C
YFL039C,YER093C
YFL039C,YNR038W
YFL039C,YPR104C
YFL039C,YLL035W
YFL039C,YGR158C
YFL039C,YHR170W
YFL039C,YNR053C
YFL039C,YNL061W
YFL039C,YNL061W
YFL039C,YGR103W
YFL039C,YDL105W
YFL039C,YEL055C
YFL039C,YNL282W
YFL039C,YAL043C
YFL039C,YNL163C
YFL039C,YHR197W
YFL039C,YLR009W
YFL039C,YOR340C
YFL039C,YLR075W
YFL039C,YLR029C
YFL039C,YGL103W
YFL039C,YOR063W
YFL039C,YLR022C
YFL039C,YDR170C
YFL039C,YFL002C
YFL039C,YPR016C
YFL039C,YJR041C
YLR397C,YKL052C
YLR397C,YMR296C
YLR397C,YDR060W
YLR397C,YGR264C
YLR397C,YFL034CB
YLR397C,YGR119C
YLR397C,YLR008C
YLR397C,YJL001W
YLR397C,YKR025W
YOR335C,YGL065C
YOR335C,YJR065C
YOR335C,YLR314C
YOR335C,YHR072W
YOR335C,YPL169C
YOR335C,YER003C
YOR335C,YBR080C
YOR335C,YNL287W
YOR335C,YKL035W
YBR110W,YBR070C
YBR110W,YLL035W
YBR110W,YNL158W
YBR110W,YBL020W
YBR110W,YMR149W
YBR110W,YMR218C
YBR110W,YEL002C
YBR110W,YEL002C
YGL047W,YGL047W
YGL047W,YDR182W
YGL047W,YPR183W
YGL047W,YBL040C
YGL047W,YLR459W
YGL047W,YLR459W
YGL047W,YGL142C
YGL047W,YDR302W
YGL047W,YBR004C
YGL047W,YDR437W
YGL047W,YDR437W
YGL047W,YPL076W
YGL047W,YPL076W
YGL047W,YDR331W
YGL047W,YJL091C
YGL047W,YDL193W
YGL047W,YOR103C
YGL047W,YCL052C
YGL047W,YCL043C
YGL047W,YBR002C
YGL047W,YBR002C
YGL047W,YBL020W
YGL047W,YMR013C
YGL047W,YOR149C
YGL047W,YOR149C
YGL047W,YGL022W
YGL047W,YGL022W
YGL047W,YMR149W
YGL047W,YDR246W
YGL047W,YEL002C
YGL047W,YEL002C
YGL047W,YNL181W
YBR070C,YBR110W
YBR070C,YJR065C
YBR070C,YLR314C
YBR070C,YDL145C
YBR070C,YPR183W
YBR070C,YMR208W
YBR070C,YHR072W
YBR070C,YLR459W
YBR070C,YDR331W
YBR070C,YPL169C
YBR070C,YCL052C
YBR070C,YER003C
YBR070C,YIR022W
YBR070C,YBR080C
YBR070C,YKL203C
YBR070C,YNL181W
YBR070C,YNL181W
YGL065C,YBR236C
YGL065C,YNR016C
YGL065C,YNR016C
YGL065C,YGR140W
YGL065C,YGR140W
YGL065C,YMR168C
YGL065C,YMR168C
YGL065C,YGL238W
YGL065C,YKL049C
YGL065C,YMR094W
YGL065C,YDR016C
YGL065C,YGR113W
YGL065C,YGR113W
YGL065C,YGR113W
YGL065C,YGR113W
YGL065C,YIR010W
YGL065C,YIR010W
YGL065C,YGL061C
YGL065C,YER133W
YGL065C,YLR293C
YGL065C,YLR347C
YGL065C,YLR347C
YGL065C,YEL032W
YGL065C,YAL034WA
YGL065C,YJR112W
YGL065C,YJR112W
YGL065C,YJR112W
YGL065C,YPL233W
YGL065C,YPL233W
YGL065C,YER009W
YGL065C,YOL069W
YGL065C,YJR042W
YGL065C,YGR179C
YGL065C,YDR113C
YGL065C,YER013W
YGL065C,YBR049C
YGL065C,YLR145W
YGL065C,YDL139C
YGL065C,YOR057W
YGL065C,YGL093W
YGL065C,YGL093W
YGL065C,YDR201W
