	orf_name_a	gene_name_a	orf_name_b	gene_name_b	Zone	GI_PCC	CS_PCC	GE_PCC
2783	YGR268C	HUA1	YMR137C	PSO2	D	-0.00438	-0.038203471	0.1714
2787	YGR268C	HUA1	YPL002C	SNF8	C	-0.00366	0.095710767	0.3378
2789	YGR280C	PXR1	YKR092C	SRP40	D	NA	NA	0.6658
2790	YGR280C	PXR1	YLL004W	ORC3	C	NA	NA	0.2992
2791	YGR280C	PXR1	YLR197W	NOP56	C	NA	NA	0.6184
2792	YGR280C	PXR1	YPL222W	FMP40	D	NA	NA	-0.1829
2794	YGR286C	BIO2	YNL189W	SRP1	C	0.02747	NA	0.1362
2802	YHL004W	MRP4	YHR033W		C	NA	NA	NA
2803	YHL004W	MRP4	YIL103W	DPH1	B	NA	NA	0.1333
2804	YHL004W	MRP4	YIR010W	DSN1	B	NA	NA	0.2017
2806	YHL004W	MRP4	YLR102C	APC9	B	NA	NA	NA
2807	YHL004W	MRP4	YLR385C	SWC7	B	NA	NA	0.1125
2809	YHL004W	MRP4	YML088W	UFO1	B	NA	NA	0.1564
2810	YHL004W	MRP4	YML121W	GTR1	B	NA	NA	0.223
2811	YHL004W	MRP4	YMR232W	FUS2	C	NA	NA	-0.0124
2812	YHL004W	MRP4	YNL086W	SNN1	B	NA	NA	NA
2813	YHL004W	MRP4	YOR158W	PET123	A	NA	NA	0.522
2815	YHL004W	MRP4	YPL173W	MRPL40	B	NA	NA	0.6695
2817	YHL006C	SHU1	YIL132C	CSM2	D	0.07895	0.683474808	NA
2818	YHL006C	SHU1	YIL152W		D	0.03398	0.261362715	NA
2819	YHL006C	SHU1	YJR141W	IPA1	D	-0.07371	NA	NA
2820	YHL006C	SHU1	YKL183W	LOT5	D	0.00108	-0.003210949	NA
2821	YHL006C	SHU1	YKR083C	DAD2	C	0.0407	NA	NA
2824	YHL006C	SHU1	YML064C	TEM1	D	0.01961	NA	NA
2829	YHL010C	ETP1	YHL010C	ETP1	D	NA	NA	NA
2831	YHL012W		YML051W	GAL80	D	0.01843	0.004490904	NA
2842	YHL021C	AIM17	YOR210W	RPB10	C	0.01689	NA	-0.3615
2845	YHL027W	RIM101	YOR275C	RIM20	A	0.49711	0.89087424	0.423
2846	YHL029C	OCA5	YNL099C	OCA1	A	0.16864	0.712158392	0.2193
2852	YHL048W	COS8	YNL125C	ESBP6	D	0.03023	NA	0.0728
2854	YHR008C	SOD2	YHR008C	SOD2	D	NA	NA	NA
2855	YHR008C	SOD2	YJR011C		D	0.02207	NA	NA
2856	YHR008C	SOD2	YLR291C	GCD7	C	0.02115	NA	-0.1469
2857	YHR008C	SOD2	YMR239C	RNT1	C	0.03122	NA	-0.258
2858	YHR008C	SOD2	YMR308C	PSE1	C	-0.05572	NA	-0.2105
2859	YHR008C	SOD2	YNL189W	SRP1	C	0.01419	NA	0.0175
2860	YHR008C	SOD2	YOR185C	GSP2	C	-0.05829	NA	0.556
2861	YHR008C	SOD2	YPL070W	MUK1	C	0.0073	NA	0.2282
2864	YHR015W	MIP6	YOR157C	PUP1	B	0.00647	NA	NA
2867	YHR022C		YML046W	PRP39	C	-0.05935	NA	-0.0183
2871	YHR025W	THR1	YNL078W	NIS1	D	NA	0.022184827	0.0937
2876	YHR033W		YHR033W		D	NA	NA	NA
2877	YHR033W		YML064C	TEM1	D	0.04123	NA	NA
2878	YHR033W		YNL189W	SRP1	C	-0.04388	NA	NA
2879	YHR033W		YOR368W	RAD17	C	0.00985	-0.03403693	NA
2880	YHR033W		YPL018W	CTF19	C	-0.03062	-0.138191851	NA
2881	YHR034C	PIH1	YOR279C	RFM1	B	0.0023	NA	0.3493
2884	YHR036W	BRL1	YMR153W	NUP53	C	0.02564	NA	NA
2885	YHR036W	BRL1	YNR026C	SEC12	D	0.00439	NA	NA
2886	YHR050W	SMF2	YIL089W		D	0.00274	NA	NA
