orf_name_a	gene_name_a	orf_name_b	gene_name_b	Uetz-screen	Ito-core	CCSB-YI1	YeRI	Zone	GI_PCC	CS_PCC	GE_PCC
YBR103W	SIF2	YHL004W	MRP4	False	False	True	False	B			0.2075
YBR103W	SIF2	YIL112W	HOS4	True	False	False	False	A	0.1886	0.5085111542868874	0.4483
YBR103W	SIF2	YJL122W	ALB1	False	False	False	True	C	-0.02215	-0.1120625639894589	-0.008
YBR103W	SIF2	YJR141W	IPA1	False	True	False	True	C	0.12606		0.3337
YBR103W	SIF2	YLR407W		False	False	False	True	C	0.01755	-0.14077995284543246	
YBR103W	SIF2	YMR061W	RNA14	False	False	True	False	B	0.10893		0.2693
YBR103W	SIF2	YPL173W	MRPL40	False	False	True	False	B	0.03753		0.2628
YBR107C	IML3	YDR254W	CHL4	False	False	False	True	A	0.56022	0.36770094995924724	
YBR107C	IML3	YDR421W	ARO80	False	False	True	False	C	0.00443	0.13521436376065538	
YBR107C	IML3	YDR489W	SLD5	False	False	True	False	B	0.00383		
YBR107C	IML3	YGL071W	AFT1	False	False	True	False	C	0.00566		
YBR107C	IML3	YHR113W	APE4	False	False	True	False	C	-0.0165	0.12428617098918128	
YBR108W	AIM3	YCR009C	RVS161	True	False	True	False	D	-0.00284		
YBR108W	AIM3	YDR388W	RVS167	False	True	False	False	D	0.0776		
YBR108W	AIM3	YGR136W	LSB1	False	True	False	False	D	-0.06551	0.2547658254712886	
YBR109C	CMD1	YCL063W	VAC17	False	False	False	True	C	-0.09261		-0.105
YBR109C	CMD1	YGL106W	MLC1	False	False	True	True	A			0.5777
YBR111C	YSA1	YLR245C	CDD1	False	False	True	False	D	0.01507		0.0119
YBR111C	YSA1	YOR368W	RAD17	False	False	False	True	C	0.00783		0.0254
YBR111C	YSA1	YPL070W	MUK1	False	False	True	False	C	-0.02096		0.1644
YBR111W-A	SUS1	YML051W	GAL80	False	False	False	True	C	-0.00773		0.0058
YBR114W	RAD16	YJL036W	SNX4	False	False	False	True	B	-0.04005	0.07447529789455125	0.4828
YBR114W	RAD16	YML095C	RAD10	False	False	False	True	B	0.03799	0.13198368107190028	0.3411
